key,commonName,scientificName,fact1,fact2,fact3,imageUrl,hashtags,careLevel,aggression
angelfish,"Freshwater Angelfish","Pterophyllum scalare","Thrives in 75-82°F water with pH 6.5-7.5","Needs 30+ gallon tank. Group of 4-6","A tall, graceful cichlid reaching 6 inches in height with distinctive triangular shape and elongated fins",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fangelfish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #freshwaterangelfish #southamericanfish",Moderate,Semi-aggressive
pearlDanio,"Pearl Danio","Danio albolineatus","Thrives in 68-77°F water with pH 6.5-7.5","Needs 15+ gallon tank. School of 6+","A small, elongated danio reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FpearlDanio.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #pearldanio #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
neonTetra,"Neon Tetra","Paracheirodon innesi","Thrives in 72-78°F water with pH 6-7","Needs 10+ gallon tank. School of 6+","An iconic schooling fish reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FneonTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #neontetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
celestialPearlDanio,"Celestial Pearl Danio","Danio margaritatus","Thrives in 72-76°F water with pH 6.5-7.5","Needs 10+ gallon tank. School of 8-12","A tiny, stunning nano fish reaching only 1 inch with dark blue body covered in pearl-white spots and brilliant orange...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FcelestialPearlDanio.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #celestialpearldanio #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
bettaFish,"Betta Fish","Betta splendens","Thrives in 76-82°F water with pH 6.5-7.5","Needs 5+ gallon tank. Solitary","The iconic Siamese fighting fish, reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FbettaFish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #bettafish #beginnerfish #asianfish",Easy,Aggressive
guppy,"Guppy","Poecilia reticulata","Thrives in 72-82°F water with pH 6.8-7.8","Needs 10+ gallon tank. Group of 5+","An extremely popular livebearer reaching 2 inches (males smaller with elaborate fins and colors, females larger and p...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fguppy.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #guppy #peacefulfish",Very Easy,Peaceful
molly,"Molly","Poecilia sphenops","Thrives in 72-80°F water with pH 7-8","Needs 15+ gallon tank. Group of 4+","A popular livebearer reaching 3-5 inches (depending on variety) available in numerous colors including black, orange,...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fmolly.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #molly #peacefulfish #beginnerfish #southamericanfish",Easy,Peaceful
platy,"Platy","Xiphophorus maculatus","Thrives in 68-79°F water with pH 7-8.2","Needs 10+ gallon tank. Group of 3+","A colorful, hardy livebearer reaching 2-3 inches with numerous color varieties including red, orange, yellow, and blu...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fplaty.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #platy #peacefulfish #beginnerfish",Easy,Peaceful
swordtail,"Swordtail","Xiphophorus hellerii","Thrives in 64-82°F water with pH 7-8","Needs 20+ gallon tank. Group of 5+","A popular livebearer reaching 4-5 inches (males with distinctive sword-like tail extension) available in multiple col...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fswordtail.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #swordtail #peacefulfish #beginnerfish",Easy,Peaceful
endlersLivebearer,"Endler's Livebearer","Poecilia wingei","Thrives in 72-82°F water with pH 7-8.5","Needs 10+ gallon tank. Group of 6+","A tiny, brilliantly colored livebearer reaching only 1 inch (males smaller and more colorful than females)",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FendlersLivebearer.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #endlerslivebearer #peacefulfish #southamericanfish",Very Easy,Peaceful
whiteCloudMinnow,"White Cloud Mountain Minnow","Tanichthys albonubes","Thrives in 57-72°F water with pH 6-8","Needs 10+ gallon tank. School of 6+","A small, hardy minnow reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FwhiteCloudMinnow.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #whitecloudmountainmi #peacefulfish #schoolingfish #asianfish",Very Easy,Peaceful
cardinalTetra,"Cardinal Tetra","Paracheirodon axelrodi","Thrives in 73-84°F water with pH 4-7.5","Needs 15+ gallon tank. School of 8+","A stunning South American schooling fish reaching up to 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FcardinalTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #cardinaltetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
